,prompt,photo
0,"A 4-year-old boy with brown short hair and white skin tone and a friendly herbivorous dinosaur with green scales and a kind smile seeking shelter under a large tree during a thunderstorm, with dark clouds rolling in and rain pouring heavily. watercolor. ",1
1,"A 4-year-old boy with brown short hair and white skin tone kneeling beside his sandbox, holding a dirty treasure map in his hands. His toys are scattered around, and the sun shines brightly. watercolor. ",2
2,"A 4-year-old boy with brown short hair and white skin tone standing at the edge of a sparkling river, watching a playful otter with brown fur and a friendly smile swimming nearby. Stepping stones are just beneath the water's surface. watercolor. ",3
3,"A 4-year-old Boy with Blonde Short hair and white skin tone holding a treasure map, with a big smile on his face, standing in front of a lush green forest. watercolor. ",4
4,"A 4-year-old Boy with Blonde Short hair and white skin tone rescuing a small cat with orange fur stuck on a tree branch, with a determined expression on his face and a sunny park in the background. watercolor. ",5
5,"A 4-year-old Boy with Blonde Short hair and white skin tone using his superpowers to stop a red bicycle with a basket in the front, with a blur of motion and a flower stand in the background. watercolor. ",6
6,"a 6-year-old Boy with Black Short hair and black skin tone opening the mysterious old book, with a bright light surrounding him. The tree under which he found the book is in the background. watercolor. ",7
7,"a 6-year-old Boy with Black Short hair and black skin tone dashing into the burning bakery, with flames and smoke billowing out. People trapped inside are visible through the windows. watercolor. ",8
8,"a 6-year-old Boy with Black Short hair and black skin tone confronting a group of mischievous villains, with an intense battle scene. The villains are shown frozen in surprise as he uses his superpowers. watercolor. ",9
9,"a 6-year-old Boy with Black Short hair and black skin tone surrounded by a group of children, who are looking up to him with admiration and excitement. They are holding drawings and wearing homemade superhero costumes. watercolor. ",10
10,"a 6-year-old Boy with Brown Short hair and white skin tone visiting different planets in the solar system, with each planet showcasing its unique characteristics. watercolor. ",11
11,"A 3-year-old Boy with Brown Curly hair and darker cinnamon skin tone running faster than the wind, leaping higher than the tallest trees, and effortlessly lifting a heavy rock. watercolor. ",12
12,"A 3-year-old Boy with Brown Curly hair and darker cinnamon skin tone carrying a 4-year-old girl with blonde pigtails and bright blue eyes on his back, swiftly bringing her back to her worried parents. watercolor. ",13
13,"A 4-year-old Boy with Blonde Short hair and white skin tone's bedroom, with a window overlooking a garden filled with blooming flowers. watercolor. ",14
14,"A 4-year-old Boy with Blonde Short hair and white skin tone and the small, sad bunny embarking on an adventure through meadows, mountains, and rivers, following a glowing trail on a magical map. watercolor. ",15
15,"A 4-year-old Boy with Blonde Short hair and white skin tone and the small, sad bunny reunited with the bunny's family, surrounded by a meadow filled with blooming flowers. watercolor. ",16
16,"A little girl with long brown hair, wearing red rain boots, standing at the entrance of the forest, looking concerned as she notices the dull surroundings. watercolor. ",17
17,"A little girl with long brown hair, wearing red rain boots, and a shy fairy with shimmering wings, unlocking the hidden door in the oldest tree with the magical key, as a brilliant light fills the forest. watercolor. ",18
18,"A little girl with long brown hair, wearing red rain boots, and a shy fairy with shimmering wings, exploring the forest together, spreading joy and magic. watercolor. ",19
19,"A heartwarming illustration of a little girl with long brown hair, wearing red rain boots, and a shy fairy with shimmering wings, hugging each other tightly, surrounded by the friendly villagers and the enchanting forest. watercolor. ",20
20,a 3-year-old Girl with Blonde Curly hair and white skin tone using her super strength to lift children to safety from the top of a tall tree. watercolor. ,21
21,"a 3-year-old Boy with Brown Short hair and white skin tone looking up at the tree with curiosity, as a bright flash of light comes from the sky. watercolor. ",22
